Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
489,44,0.2,0.1,0.3,0.2,Flat,0.05,0.15,898261.9,176.49509,43932.93,26298,
490,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1272716.5,2.3425665,53204.227,42625,
491,59,0.2,0.1,0.3,0.2,Flat,0.05,0.15,998427.6,197.51758,49591.75,39495,
492,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1052176.8,2.051693,45379.477,45035,
493,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,738148.7,62.825676,11217.604,30116,
494,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1039883.3,230.807,63597.73,32824,
495,57,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1075767.0,2.4013367,54382.02,33307,
496,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,909218.4,164.29572,43790.33,26490,
497,49,0.2,0.1,0.3,0.2,Flat,0.05,0.15,684005.06,102.499695,29197.893,22047,
498,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1177773.5,219.53088,48894.25,42105,
499,55,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1426141.2,330.07727,87817.65,49830,
